Country,HAP.SCORE,EXP.GDP.PER.CAPITA,EXP.SOC.SUPP,EXP.HEAL.LIFE,EXP.FREE.LIFE,EXP.GEN,EXP.TRUST
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,5.211,1.002,1.160,0.785,0.086,0.073,0.114
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,5.192,0.931,1.203,0.660,0.491,0.498,0.028
China,5.191,1.029,1.125,0.893,0.521,0.058,0.100
Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,5.082,0.813,1.321,0.604,0.457,0.370,0.167
Cameroon,5.044,0.549,0.910,0.331,0.381,0.187,0.037
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.040
Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.090
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,4.906,0.837,1.225,0.815,0.383,0.110,0.130
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
Laos,4.796,0.764,1.030,0.551,0.547,0.266,0.164
South Africa,4.722,0.960,1.351,0.469,0.389,0.130,0.055
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,4.707,0.960,1.427,0.805,0.154,0.064,0.047
Cambodia,4.700,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,4.681,0.450,1.134,0.571,0.292,0.153,0.072
Somalia,4.668,0.000,0.698,0.268,0.559,0.243,0.270
Namibia,4.639,0.879,1.313,0.477,0.401,0.070,0.056
Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,4.587,0.331,1.056,0.380,0.255,0.177,0.113
Armenia,4.559,0.850,1.055,0.815,0.283,0.095,0.064
Iran,4.548,1.100,0.842,0.785,0.305,0.270,0.125
Guinea,4.534,0.380,0.829,0.375,0.332,0.207,0.086
Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,4.490,0.570,1.167,0.489,0.066,0.106,0.088
Mozambique,4.466,0.204,0.986,0.390,0.494,0.197,0.138
Tunisia,4.461,0.921,1.000,0.815,0.167,0.059,0.055
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,4.437,1.043,0.980,0.574,0.241,0.148,0.089
Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
Mali,4.390,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,4.366,0.949,1.265,0.831,0.470,0.244,0.047
Myanmar,4.360,0.710,1.181,0.555,0.525,0.566,0.172
Chad,4.350,0.350,0.766,0.192,0.174,0.198,0.078
Ukraine,4.332,0.820,1.390,0.739,0.178,0.187,0.010
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.100
Swaziland,4.212,0.811,1.149,0.000,0.313,0.074,0.135
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.060
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,4.085,0.275,0.572,0.410,0.293,0.177,0.085
India,4.015,0.755,0.765,0.588,0.498,0.200,0.085
Liberia,3.975,0.073,0.922,0.443,0.370,0.233,0.033
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,3.775,0.046,0.447,0.380,0.220,0.176,0.180
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.110
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.100
Syria,3.462,0.619,0.378,0.440,0.013,0.331,0.141
Malawi,3.410,0.191,0.560,0.495,0.443,0.218,0.089
Yemen,3.380,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,3.203,0.350,0.517,0.361,0.000,0.158,0.025
Central African Republic,3.083,0.026,0.000,0.105,0.225,0.235,0.035
South Sudan,2.853,0.306,0.575,0.295,0.010,0.202,0.091
